"A429666A-1DA5-435B-A726-D1427DB8FD3F","745000","2010-02-18","W5 2SX","S","N","F","","4","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/A429666A-1DA5-435B-A726-D1427DB8FD3F/current"
"FD226036-0BDD-4CB7-E053-4804A8C00430","1105000","2023-04-06","W5 2SX","S","N","F","","12","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-0BDD-4CB7-E053-4804A8C00430/current"
"F87E72F8-8871-176C-E053-6B04A8C0D2BE","612500","2023-02-23","W5 2SX","F","N","L","FLAT A","16","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F8-8871-176C-E053-6B04A8C0D2BE/current"
"4E95D757-1544-EDA1-E050-A8C0630539E2","425000","2016-03-31","W5 2SX","F","N","L","FLAT C","16","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E95D757-1544-EDA1-E050-A8C0630539E2/current"
"9FF0D96A-833B-11ED-E053-6C04A8C06383","17000","2020-02-18","W5 2SX","O","N","F","","20","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/9FF0D96A-833B-11ED-E053-6C04A8C06383/current"
"5A9D8B54-B68B-68EB-E053-6B04A8C0D293","699950","2017-05-26","W5 2SX","F","N","L","","20","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/5A9D8B54-B68B-68EB-E053-6B04A8C0D293/current"
"64342BFD-B0E6-422C-E053-6C04A8C0FB8A","589050","2017-10-10","W5 2SX","F","N","L","","20A","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/64342BFD-B0E6-422C-E053-6C04A8C0FB8A/current"
"7C2D06FF-A030-4963-E053-6B04A8C07B97","399950","2018-07-16","W5 2SX","F","N","L","","20B","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/7C2D06FF-A030-4963-E053-6B04A8C07B97/current"
"93E6821E-9386-40FD-E053-6B04A8C0C1DF","900000","2019-08-28","W5 2SX","S","N","F","","28","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821E-9386-40FD-E053-6B04A8C0C1DF/current"
"42A5A708-B945-56E8-E050-A8C06205331E","1079000","2016-11-02","W5 2SX","S","N","F","","38","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/42A5A708-B945-56E8-E050-A8C06205331E/current"
"C18F412B-1774-81A6-E053-6B04A8C0AD18","1175000","2021-02-11","W5 2SX","S","N","F","","40","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/C18F412B-1774-81A6-E053-6B04A8C0AD18/current"
"E7B085FC-81E2-7E31-E053-6C04A8C0E67F","1425000","2022-04-13","W5 2SY","D","N","F","","1","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/E7B085FC-81E2-7E31-E053-6C04A8C0E67F/current"
"BC8936BB-31B8-0E2C-E053-6C04A8C0DBF4","512000","2020-03-03","W5 2SY","F","N","L","","3A","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/BC8936BB-31B8-0E2C-E053-6C04A8C0DBF4/current"
"FD226035-7CFC-4CB7-E053-4804A8C00430","345000","2022-11-14","W5 2SY","F","N","L","FLAT 1","23","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-7CFC-4CB7-E053-4804A8C00430/current"
"FD226035-7D30-4CB7-E053-4804A8C00430","566000","2023-01-24","W5 2SY","F","N","L","FLAT 2","23","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-7D30-4CB7-E053-4804A8C00430/current"
"FD226035-7CED-4CB7-E053-4804A8C00430","557000","2022-11-02","W5 2SY","F","N","L","FLAT 3","23","CRAVEN AVENUE","","LONDON","EALING","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-7CED-4CB7-E053-4804A8C00430/current"
